 ispLEVER Classic 2.0.00.17.20.15 Fitter Report File 
Project Name,lcdcheapie
Project Path,D:\dev\xblast\aladdin_xt_mods\LCDCheapie
Project Fitted on,Sun Aug 18 23:17:06 2019

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
1,TDI,-,,,,,
2,I_O,0,A5,*,LVCMOS33,Input,pin_xbox_n_lrst
3,I_O,0,A6,,,,
4,I_O,0,A7,,,,
5,GNDIO0,-,,,,,
6,VCCIO0,-,,,,,
7,I_O,0,A8,,,,
8,I_O,0,A9,,,,
9,I_O,0,A10,*,LVCMOS33,Output,pout_lcd_rs
10,TCK,-,,,,,
11,VCC,-,,,,,
12,GND,-,,,,,
13,I_O,0,A12,,,,
14,I_O,0,A13,,,,
15,I_O,0,A14,,,,
16,I_O,0,A15,,,,
17,INCLK2,1,,,,,
18,I_O,1,B0,,,,
19,I_O,1,B1,,,,
20,I_O,1,B2,,,,
21,I_O,1,B3,*,LVCMOS33,Bidir,pinout4_xbox_lad_3_
22,I_O,1,B4,*,LVCMOS33,Bidir,pinout4_xbox_lad_2_
23,TMS,-,,,,,
24,I_O,1,B5,,,,
25,I_O,1,B6,,,,
26,I_O,1,B7,*,LVCMOS33,Output,pout_backlight
27,GNDIO1,-,,,,,
28,VCCIO1,-,,,,,
29,I_O,1,B8,*,LVCMOS33,Output,pout_lcd_e
30,I_O,1,B9,,,,
31,I_O,1,B10,,,,
32,TDO,-,,,,,
33,VCC,-,,,,,
34,GND,-,,,,,
35,I_O,1,B12,,,,
36,I_O,1,B13,,,,
37,I_O,1,B14,*,LVCMOS33,Bidir,pinout4_xbox_lad_1_
38,I_O/OE,1,B15,*,LVCMOS33,Bidir,pinout4_xbox_lad_0_
39,INCLK0,0,,*,LVCMOS33,Input,pin_xbox_lclk
40,I_O/OE,0,A0,,,,
41,I_O,0,A1,*,LVCMOS33,Output,p4out_lcd_d4_d7_3_
42,I_O,0,A2,*,LVCMOS33,Output,p4out_lcd_d4_d7_2_
43,I_O,0,A3,*,LVCMOS33,Output,p4out_lcd_d4_d7_1_
44,I_O,0,A4,*,LVCMOS33,Output,p4out_lcd_d4_d7_0_
